player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Dewayne Dedmon,ORL,26,Undrafted,58,4.4,3.9,0.2,5.7245693,8.847347,-0.699422493,0.116172728,-0.926799103
Harrison Barnes,GSW,24,7,66,11.7,4.9,1.8,9.82557,6.446997,0.593387379,0.531948805,-0.014965752
Dion Waiters,OKC,24,4,78,9.8,2.6,2,6.9878697,4.8547215,0.256902618,-0.424336173,0.099013417
Donald Sloan,BKN,28,Undrafted,61,7,2.8,4.4,6.9918814,2.7344067,-0.238969662,-0.341180958,1.466763442
Donatas Motiejunas,HOU,25,20,37,6.2,2.9,1.1,6.0182624,7.126745,-0.380647456,-0.29960335,-0.413892843
Doug McDermott,CHI,24,11,81,9.4,2.4,0.7,6.840924,5.9683475,0.186063721,-0.507491389,-0.641851181
Draymond Green,GSW,26,35,81,14,9.5,7.4,10.578198,3.1251824,1.000711038,2.444518762,3.176450974
Drew Gooden,WAS,34,4,30,2.7,2.8,0.4,3.83081,7.8114944,-1.000487806,-0.341180958,-0.812819934
Duje Dukan,SAC,24,Undrafted,1,6,4,1,7.0298223,8.270051,-0.416066905,0.157750335,-0.470882427
Dwight Howard,HOU,30,1,71,13.7,11.8,1.4,11.959312,6.6653776,0.947581865,3.400803741,-0.24292409
Dwight Powell,DAL,24,45,69,5.8,4,0.6,7.037585,8.432762,-0.451486353,0.157750335,-0.698840765
Dwyane Wade,MIA,34,5,74,19,4.1,4.6,10.611058,3.8997414,1.886197251,0.199327943,1.580742611
E'Twaun Moore,CHI,27,55,59,7.5,2.3,1.7,6.1971264,5.198839,-0.15042104,-0.549068997,-0.071955337
Ed Davis,POR,27,13,81,6.5,7.4,1.1,10.52325,7.701804,-0.327518283,1.571388999,-0.413892843
Edy Tavares,ATL,24,43,11,2.3,1.9,0.3,2.295123,7.5270805,-1.071326703,-0.715379428,-0.869809518
Dirk Nowitzki,DAL,38,9,75,18.3,6.5,1.8,11.2615185,5.601172,1.762229181,1.197190529,-0.014965752
Hassan Whiteside,MIA,27,33,73,14.2,11.8,0.4,11.968624,6.620532,1.036130486,3.400803741,-0.812819934
Henry Sims,BKN,26,Undrafted,14,6.5,5.1,0.6,8.630325,8.614876,-0.327518283,0.615104021,-0.698840765
Hollis Thompson,PHI,25,Undrafted,77,9.8,3.5,1.3,8.093657,6.661999,0.256902618,-0.050137703,-0.299913674
Jarell Martin,MEM,22,25,27,5.7,3.2,0.6,5.769021,7.746693,-0.469196077,-0.174870527,-0.698840765
Jarnell Stokes,MEM,22,35,7,1,0.6,0.1,-0.16949601,6.8135233,-1.301553118,-1.255888329,-0.983788687
Jarrett Jack,BKN,32,22,32,12.8,4.3,7.4,10.372756,2.7843044,0.788194346,0.282483159,3.176450974
Jason Smith,ORL,30,20,76,7.2,2.9,0.8,6.0816674,7.169391,-0.203550213,-0.29960335,-0.584861596
